Rank,Song Title,Artist,New To Chart,Peak Position,Position Last Week,Weeks On Chart
1,Astronaut In The Ocean,Masked Wolf,False,1,2,12
2,Levitating,Dua Lipa Featuring DaBaby,False,2,4,32
3,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),False,2,3,9
4,Save Your Tears,The Weeknd & Ariana Grande,False,1,1,18
5,Without You,The Kid LAROI & Miley Cyrus,False,5,50,7
6,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,False,3,6,7
7,Sorry Not Sorry,"DJ Khaled Featuring Nas, JAY-Z & James Fauntleroy",True,7,0,1
8,Lady Marmalade,"Christina Aguilera, Lil' Kim, Mya & P!nk",False,5,5,2
9,Shallow,Lady Gaga & Bradley Cooper,False,1,12,68
10,Best Friend,Saweetie Featuring Doja Cat,False,4,11,17
11,Forever After All,Luke Combs,False,1,16,21
12,Lose Yourself,Eminem,False,3,8,45
13,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,False,1,10,64
14,Lil Bit,Nelly & Florida Georgia Line,False,4,25,18
15,Kiss Me More,Doja Cat Featuring SZA,False,11,19,4
16,Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,False,2,9,10
17,The Good Ones,Gabby Barrett,False,1,14,20
18,Your Power,Billie Eilish,True,18,0,1
19,Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,False,9,13,9
20,Up,Cardi B,False,1,20,13
21,Let It Go,DJ Khaled Featuring Justin Bieber & 21 Savage,True,21,0,1
22,The Business,Tiesto,False,10,26,8
23,Never Been In Love,Haley Mae Campbell,True,23,0,1
24,Don't You (Forget About Me),Simple Minds,False,17,17,4
25,Blinding Lights,The Weeknd,False,1,29,72
26,Deja Vu,Olivia Rodrigo,False,7,32,5
27,A Thousand Years,Christina Perri,False,20,23,49
28,See You Again,Wiz Khalifa Featuring Charlie Puth,False,1,22,31
29,Montero (Call Me By Your Name),Lil Nas X,False,1,18,6
30,We're Good,Dua Lipa,False,30,36,9
31,I Did It,"DJ Khaled Featuring Post Malone, Megan Thee Stallion, Lil Baby & DaBaby",True,31,0,1
32,"Wine, Beer, Whiskey",Little Big Town,False,9,24,26
33,Follow You,Imagine Dragons,False,19,31,5
34,Don't,eAeon Featuring RM,True,34,0,1
35,Love Me Like You Do,Ellie Goulding,False,2,35,26
36,You'll Be In My Heart,Phil Collins,False,36,41,2
37,When Doves Cry,Prince,False,2,27,5
38,Chasing After You,Ryan Hurd With Maren Morris,False,10,28,4
39,Drivers License,Olivia Rodrigo,False,1,33,17
40,Big Paper,DJ Khaled Featuring Cardi B,True,40,0,1
41,Heat Waves,Glass Animals,False,35,48,6
42,Famous Friends,Chris Young + Kane Brown,False,32,43,3
43,(Everything I Do) I Do It For You,Bryan Adams,False,34,34,2
44,Earned It (Fifty Shades Of Grey),The Weeknd,False,6,37,30
45,Country Again,Thomas Rhett,True,45,0,1
46,Purple Rain,Prince And The Revolution,False,1,21,6
47,Hell Of A View,Eric Church,False,6,0,4
48,Confetti,Little Mix Featuring Saweetie,True,48,0,1
49,Made For You,Jake Owen,False,26,0,2
50,Therefore I Am,Billie Eilish,False,2,0,22
